,Number,Name,Position,HT.,WT.,YEAR,HOMETOWN,LAST SCHOOL,Current School Name
0,2.0,Emeka Egbuka,WR,6-1,205.0,Jr.,"Steilacoom, Wash.",Steilacoom,Ohio State
1,2.0,Kourt Williams II,SAF,6-1,220.0,Sr.,"Harbor City, Calif.",St. John Bosco,Ohio State
2,3.0,Miyan Williams,RB,5-9,225.0,Sr.,"Cincinnati, Ohio",Winton Woods,Ohio State
3,4.0,Julian Fleming,WR,6-2,205.0,Sr.,"Catawissa, Pa.",Southern Columbia,Ohio State
4,5.0,Dallan Hayden,RB,5-10,195.0,So.,"Memphis, Tenn.",Christian Brothers,Ohio State
5,6.0,Kyle McCord,QB,6-3,222.0,Jr.,"Mt. Laurel, N.J.",St. Joseph’s Prep,Ohio State
6,6.0,Sonny Styles,SAF,6-4,222.0,So.,"Pickerington, Ohio",Pickerington Central,Ohio State
7,7.0,Jordan Hancock,CB,6-1,185.0,Jr.,"Suwanee, Ga.",North Gwinnett,Ohio State
8,7.0,Kyion Grayes,WR,6-0,185.0,So.,"Chandler, Ariz.",Chandler,Ohio State
9,8.0,Cade Stover,TE,6-4,255.0,Sr.,"Mansfield, Ohio",Lexington,Ohio State
10,9.0,Jayden Ballard,WR,6-2,196.0,Jr.,"Massillon, Ohio",Massillon Washington,Ohio State
11,10.0,Xavier Johnson,WR,6-2,215.0,Grad.,"Cincinnati, Ohio",Summit Country Day,Ohio State
12,10.0,Denzel Burke,CB,6-1,190.0,Jr.,"Phoenix, Ariz.",Saguaro,Ohio State
13,11.0,C.J. Hicks,LB,6-3,225.0,So.,"Dayton, Ohio",Archbishop Alter,Ohio State
14,12.0,Caleb Burton,WR,5-11,169.0,So.,"Austin, Texas",Lake Travis,Ohio State
15,12.0,Lathan Ransom,SAF,6-1,205.0,Sr.,"Tucson, Ariz.",Salpointe Catholic,Ohio State
16,13.0,Kaleb Brown,WR,5-10,197.0,So.,"Chicago, Ill.",St. Rita,Ohio State
17,13.0,Cameron Martinez,SAF,5-10,190.0,Sr.,"Muskegon, Mich.",Muskegon,Ohio State
18,14.0,Kojo Antwi,WR,5-11,192.0,So.,"Suwanee, Ga.",Lambert,Ohio State
19,14.0,Ja'Had Carter,SAF,6-1,203.0,Sr.,"Richmond, Va.",Syracuse,Ohio State
