,Statistic,#,Full Name,Pos.,Ht.,Academic Year,Hometown / High School,Wt.,Current School Name,Previous School,Twitter,Instagram,Image,Name,Title
0,,0.0,Daquan Evans,DB,5-11,Sr.,"Orlando, Fla. / Jones HS",190.0,South Florida,,,la.daedae,,,
1,,1.0,Khafre Brown,WR,6-0,Jr.,"Charlotte, N.C. / West Mecklenburg HS",195.0,South Florida,North Carolina,Khafre_Brown,thekhafrebrown,,,
2,,1.0,Matthew Hill,S,6-1,Sr.,"Lawrenceville, Ga. / Brookwood HS",192.0,South Florida,Auburn,Matt_D_Hill,_younghill_,,,
3,,2.0,Michel Dukes,RB,5-10,Sr.,"Charleston, S.C. / First Baptist HS",194.0,South Florida,Clemson,MDukes02,mdukes02,,,
4,,2.0,TJ Robinson,DB,6-3,Jr.,"Riverview, Fla. / Riverview HS",194.0,South Florida,Rutgers,TJ_Robinson_,iam.tj5,,,
5,,3.0,Kelley Joiner Jr.,RB,5-9,Sr.,"Clermont, Fla. / South Lake HS",184.0,South Florida,,kelleyjoiner8,kelley2timez,,,
6,,4.0,Seth Jones,WR,5-11,Jr.,"Pearland, Texas / Shadow Creek HS",197.0,South Florida,Baylor,,,,,
7,,4.0,Christian Williams,S,6-1,Sr.,"Daphne, Ala. / Daphne HS",191.0,South Florida,Miami,C_Will4,c.will4,,,
8,,5.0,Nay'Quan Wright,RB,5-9,Sr.,"Opa-Locka, Fla. / Miami Carol City HS",204.0,South Florida,Florida,,,,,
9,,6.0,Ajou Ajou,WR,6-3,So.,"Brooks, Alberta, Canada / Clearwater Academy International",228.0,South Florida,Clemson,AjouAjou17,ajou,,,
10,,7.0,Will Jones II,S,5-9,Jr.,"Mansfield, Texas / Summit HS",191.0,South Florida,Kansas State,TheWillJones_,thewilljones_,,,
11,,7.0,Naiem Simmons,WR,5-10,Jr.,"Cherry Hill, N.J. / Cherry Hill West HS",182.0,South Florida,Wagner,,,,,
12,,8.0,Bryce Archie,QB,6-3,R-Fr.,"Powder Springs, Ga. / McEachern HS",212.0,South Florida,Coastal Carolina,,,,,
13,,8.0,DJ Gordon IV,LB,6-1,Jr.,"Plant City, Fla. / Plant City HS",228.0,South Florida,Minnesota,djgrind21,8djiv,,,
14,,9.0,Aamaris Brown,DB,5-10,Jr.,"Tampa, Fla. / Armwood HS",197.0,South Florida,Kansas State,AamarisBrown,abr9wn,,,
15,,9.0,Yusuf Terry,WR,6-3,Jr.,"Philadelphia, Pa. / Imhotep Charter HS",180.0,South Florida,Baylor,YTerry_,yuey.8,,,
16,,10.0,Nick Bags,DL,6-3,Jr.,"Staten Island, N.Y. / Tottenville HS",294.0,South Florida,Temple,NickBagss,nickbagss,,,
17,,11.0,Gerry Bohanon,QB,6-3,Sr.,"Earle, Ark. / Earle High School",226.0,South Florida,Baylor,,g.bohanon,,,
18,,11.0,D.J. Harris,DE,6-2,So.,"Houston, Texas / New Caney HS",240.0,South Florida,Texas,,,,,
19,,12.0,Ben Knox,CB,6-2,Jr.,"DeLand, Fla. / DeLand HS",196.0,South Florida,,PresiKnox,presidentknox,,,
20,,12.0,Katravis Marsh,QB,6-5,Jr.,"Hialeah, Fla. / Miami Central HS",232.0,South Florida,,trill_kav,_marsh12,,,
21,,13.0,Tramel Logan,DE,6-4,Jr.,"Miami, Fla. / Booker T. Washington HS",247.0,South Florida,,TramelLogan10,_.tl.5,,,
22,,13.0,Gunnar Smith,QB,6-4,R-Fr.,"Lake Mary, Fla. / Lake Mary HS",205.0,South Florida,,12Gunnarsmith,gunnarsmith12,,,
23,,14.0,Dequan Stanley,WR,5-10,So.,"St. Augustine, Fla. / St. Augustine HS",182.0,South Florida,,DequanStanley2,dequanstanley_,,,
24,,14.0,Michael Williams II,DE,6-3,R-Fr.,"Farmington Hills, Mich. / West Bloomfield HS",256.0,South Florida,,TheFuture247,MikeWill0,,,
25,,15.0,Jayden Curry,DB,5-11,Jr.,"Virginia Beach, Va. / IMG Academy",200.0,South Florida,,jayyupnext27,unociinco,,,
26,,15.0,Gavin Gosnell,QB,6-2,R-Fr.,"Hendersonville, N.C. / Hendersonville HS",226.0,South Florida,,Gavin_gosnell,gavinqb16,,,
27,,16.0,Ryan Bolduc,QB,6-1,Jr.,"Sarasota, Fla. / Cardinal Mooney HS",197.0,South Florida,,ryanbolduc12,ryanbolduc7,,,
28,,17.0,Byrum Brown,QB,6-3,R-Fr.,"Raleigh, N.C. / Rolesville HS",209.0,South Florida,,ByrumBrown17,byrumbrown17,,,
29,,17.0,Jhalyn Shuler,LB,6-1,Sr.,"Abbeville, S.C. / Abbeville HS",220.0,South Florida,Coffeyville CC,,,,,
30,,18.0,Ray Thornton III,S,6-1,Jr.,"Columbus, Ga. / Central HS",206.0,South Florida,Clemson,REXX_RAY,rexx.ray,,,
31,,18.0,Weston Wolff,TE,6-4,So.,"Venice, Fla. / Venice HS",240.0,South Florida,Maryland,,,,,
32,,19.0,Jonathan Ross,DE,6-3,Sr.,"Waldorf, Md. / St. Charles HS",246.0,South Florida,Bowie State,,_snakemout10,,,
33,,19.0,Javohn Thomas,WR,6-3,R-Fr.,"Tampa, Fla. / Sickles HS",206.0,South Florida,,JavohnThomas23,_cantguardvon,,,
34,,20.0,AJ Hamilton,CB,5-10,So.,"Dunnellon, Fla. / Dunnellon HS",190.0,South Florida,,yb_hamm,yb.hamm,,,
35,,21.0,Jaelen Stokes,DB,6-1,So.,"Auburndale, Fla. / Auburndale HS",190.0,South Florida,,Jaelenstokes_,jaelenstokes,,,
36,,22.0,K'Wan Powell,RB,5-9,So.,"Vernon, Fla. / Vernon HS",205.0,South Florida,,kwanpowell1,k1_p22,,,
37,,24.0,Mac Harris,LB,6-0,So.,"The Villages, Fla. / The Villages Charter School",240.0,South Florida,,official_mac7,_2wo_4our,,,
38,,25.0,Dominic Gonella,RB,5-11,Sr.,"Riverview, Fla. / Bloomingdale HS",211.0,South Florida,,,,,,
39,,25.0,Christopher Townsel,DB,6-2,Jr.,"Deerfield Beach, Fla. / Deerfield Beach",200.0,South Florida,,christownsel_,c.townsel8,,,
40,,26.0,Tavin Ward,DB,6-1,R-Fr.,"Fort Myers, Fla. / North Fort Myers HS",192.0,South Florida,,TavinWard1,tavin.ward,,,
41,,26.0,Yasias Young,RB,5-9,So.,"Fort Myers, Fla. / Fort Myers HS",187.0,South Florida,,young_sysy2,youngsy_2,,,
42,,27.0,Jordan Blackmon,S,5-10,So.,"Melbourne, Fla. / Eau Gallie HS",162.0,South Florida,,jblack_EG,dos_2_live,,,
43,,27.0,Cameron Cobb,WR,5-11,R-Fr.,"Tampa, Fla. / Wharton HS",188.0,South Florida,,CameronT_Cobb,cameron.cobb89,,,
44,,28.0,Jarvis Lee Jr.,CB,5-11,Fr.,"Jacksonville, Fla. / IMG Academy",173.0,South Florida,,,,,,
45,,29.0,Daniel Jezik,DB,5-10,So.,"Coal City, Ill. / Coal City HS",210.0,South Florida,North Central College,,,,,
46,,29.0,Brian Norris,LB,6-2,Gr.,"Chiefland, Fla. / Chiefland HS",230.0,South Florida,,B_E_Norris,bnorris_4_,,,
47,,30.0,DeAunte Hunter,LB,6-4,R-Fr.,"Valdosta, Ga. / Lowndes HS",203.0,South Florida,,,,,,
48,,31.0,Pierse Stainton,P,6-2,R-Fr.,"Sarasota, Fla. / Cardinal Mooney HS",182.0,South Florida,,StaintonPierse,piersestaintonn,,,
49,,32.0,Luke Dean,WR,5-9,R-Fr.,"Clearwater, Fla. / Clearwater Academy",160.0,South Florida,,,,,,
50,,33.0,"Timarcus ""T-Mac"" Simpson",S,5-11,Sr.,"Tampa, Fla. / Sickles HS",190.0,South Florida,Eastern Michigan,timarcussimpson,t._simpson7,,,
51,,35.0,Chris Thomas,S,6-0,R-Fr.,"Bradenton, Fla. / Southeast HS",185.0,South Florida,,@out1ier__,out1ier_,,,
52,,36.0,Tre'son Everett,WR,6-4,R-Fr.,"Seminole, Fla. / Largo HS",200.0,South Florida,,Treson.Everett,tr6son,,,
53,,36.0,Andrew Stokes,P,6-5,Jr.,"Perth, Australia / ProKick Australia",232.0,South Florida,,Stokes4Andrew,andrewstokes04,,,
54,,37.0,Logan Berryhill,S,6-4,Jr.,"Kingsland, Ga. / Camden County HS",196.0,South Florida,,loganBerryhill7,caqavouis,,,
55,,37.0,Trey Wagner,WR,6-1,R-Fr.,"Greenville, S.C. / Christ School",181.0,South Florida,,@TreyWagner7,treywagner,,,
56,,38.0,Sean Atkins,WR,5-10,Jr.,"Viera, Fla. / Viera HS",172.0,South Florida,,Seanatkinss,sean.atkinss,,,
57,,38.0,Trey McArthur,WR,5-11,Jr.,"Rathdrum, ID / Lakeland HS",199.0,South Florida,,,,,,
58,,39.0,John Cannon,K,5-9,So.,"Fort Lauderdale, Fla. / University HS",176.0,South Florida,,John_Cannon8,c8nnon,,,
59,,40.0,Jason Albritton,RB,5-10,So.,"Lithia, Fla. / Newsome HS",224.0,South Florida,,JAlbrittoRb10,jasonalbritton30,,,
60,,40.0,Jason Vaughn,DE,6-5,Sr.,"Miami, Fla. / Advance Prep Academy",248.0,South Florida,,Jasonvaughn25,jasonvaughn40,,,
61,,41.0,Brendan Farrell,K,6-0,Sr.,"Dunwoody, Ga. / Marist School",215.0,South Florida,Virginia,,,,,
62,,42.0,Lewai Mitchell,S,6-1,So.,"Maitland, Fla. / Orangewood Christian HS",186.0,South Florida,,,,,,
