,Statistic,#,Full Name,Ht.,Wt.,Pos.,Academic Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,Rashad Amos,6-2,227.0,Running Back,R-So.,"Fayetteville, Ga. / Sandy Creek",Miami (OH),South Carolina,,,
1,,0.0,Austin Ertl,6-2,290.0,Defensive Line,Sr.,"Wauwatosa, Wis. / Wauwatosa West",Miami (OH),,,,
2,,1.0,Devin Johnson,6-1,194.0,Defensive Back,R-Fr.,"Berea, Ohio / Berea-Midpark",Miami (OH),,,,
3,,1.0,Joe Wilkins Jr.,6-2,202.0,Wide Receiver,R-Sr.,"North Fort Myers, Fla. / North Fort Myers",Miami (OH),Notre Dame,,,
4,,2.0,Yahsyn McKee,5-10,162.0,Defensive Back,Sr.,"Stockbridge, Ga. / Stockbridge",Miami (OH),Mercer,,,
5,,2.0,Aveon Smith,6-1,215.0,Quarterback,R-So.,"Lexington, S.C. / White Knoll",Miami (OH),,,,
6,,3.0,Nolan Johnson,6-2,200.0,Defensive Back,R-Sr.,"High Point, NC / Southwest Guilford",Miami (OH),East Carolina,,,
7,,3.0,Keyon Mozee,5-7,182.0,Running Back,Jr.,"Lee's Summit, Mo. / Lee's Summit North",Miami (OH),Kansas State,,,
8,,4.0,Camden Rogers,6-0,215.0,Linebacker,R-So.,"Fort Wayne, Ind. / Homestead",Miami (OH),,,,
9,,4.0,Ben Tarpey,6-2,202.0,Quarterback,R-Jr.,"Evanston, Ill. / Evanston Twp.",Miami (OH),,,,
10,,5.0,Brett Gabbert,6-0,215.0,Quarterback,R-Jr.,"St. Louis, Mo. / Christian Brothers",Miami (OH),,,,
11,,5.0,Jayden Williams,6-0,197.0,Defensive Back,R-Jr.,"East Riverside, Calif. / Centennial",Miami (OH),Southern California,,,
12,,6.0,Jacquez Warren,6-0,191.0,Defensive Back,Jr.,"Durham, N.C. / Southern Durham",Miami (OH),,,,
13,,8.0,Kevin Davis,5-9,167.0,Running Back,Jr.,"Jackson, Tenn. / Trinity Christian Academy",Miami (OH),,,,
14,,8.0,Brian Ugwu,6-3,246.0,Defensive Line,R-Jr.,"Hillside, N.J. / Hillside",Miami (OH),Rutgers,,,
15,,10.0,Gage Larvadain,5-10,160.0,Wide Receiver,Jr.,"Donaldsonville, La. / Riverside Academy",Miami (OH),Southeastern Louisiana,,,
16,,10.0,Ty Wise,6-2,242.0,Linebacker,Jr.,"Carmel, Ind. / Carmel",Miami (OH),Indiana,,,
17,,11.0,Corey Suttle,6-4,261.0,Defensive Line,R-Jr.,"Jefferson City, Mo. / Jefferson City",Miami (OH),Iowa State,,,
18,,11.0,Javon Tracy,6-0,191.0,Wide Receiver,R-Fr.,"Indianapolis, Ind. / Decatur Central",Miami (OH),,,,
19,,12.0,Henry Hesson,6-2,197.0,Quarterback,R-So.,"Plainfield, Ind. / Avon",Miami (OH),,,,
20,,12.0,Corban Hondru,6-1,228.0,Linebacker,R-So.,"McMurray, Pa. / Peters Township",Miami (OH),,,,
21,,13.0,Miles Marshall,6-4,217.0,Wide Receiver,R-Sr.,"Lilburn, Ga. / Parkview",Miami (OH),Indiana,,,
22,,13.0,Raion Strader,6-0,170.0,Defensive Back,Fr.,"Pittsburgh, Pa. / Penn Hills Senior",Miami (OH),,,,
23,,15.0,Matthew Salopek,6-1,230.0,Linebacker,R-Jr.,"Kent, Ohio / Archbishop Hoban",Miami (OH),,,,
24,,16.0,Eli Blakey,6-2,204.0,Defensive Back,R-So.,"Louisville, Ky. / DuPont Manual",Miami (OH),,,,
25,,16.0,Orin Edwards,6-1,186.0,Quarterback,R-So.,"Zionsville, Ind. / Cathedral",Miami (OH),,,,
26,,17.0,Joseph Humphreys,6-3,207.0,Quarterback,R-Fr.,"Owensboro, Ky. / Daviess County",Miami (OH),,,,
27,,17.0,TJ Rush,5-11,176.0,Defensive Back,R-So.,"St. Louis, Mo. / Trinity Catholic",Miami (OH),,,,
28,,18.0,Maddox Kopp,6-5,217.0,Quarterback,R-So.,"Houston, Yexas / St. Thomas",Miami (OH),Colorado,,,
29,,19.0,Ambe' Caldwell,6-1,206.0,Defensive Back,Jr.,"Atlanta, Ga. / Woodward Academy",Miami (OH),,,,
30,,19.0,Matt MacLeod,6-1,190.0,Quarterback,R-Fr.,"Menlo Park, Calif. / Menlo-Atherton",Miami (OH),,,,
31,,20.0,Sam Barry,6-1,185.0,Wide Receiver,R-Fr.,"Suamico, Wisc. / Bay Port",Miami (OH),,,,
32,,20.0,Adam Trick,6-4,231.0,Linebacker,R-Fr.,"Dayton, Ohio / Wayne",Miami (OH),,,,
33,,21.0,Michael Dowell,6-1,221.0,Defensive Back,R-Sr.,"North Ridgeville, Ohio / St. Edwards",Miami (OH),Michigan State,,,
34,,22.0,Christian Schomer,5-11,167.0,Defensive Back/Wide Receiver,R-Fr.,Rochester Mich. / Rochester Adams,Miami (OH),,,,
35,,23.0,Oscar McWood,6-1,214.0,Linebacker,R-So.,"Grosse Pointe, Mich. / Brother Rice",Miami (OH),,,,
36,,23.0,Nate Milanowski,5-9,189.0,Running Back,R-So.,"Grand Rapids, Mich. / East Grand Rapids",Miami (OH),,,,
