,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Image,Title
0,,2.0,Thomas Wyatt,LB,6-3,220.0,So.,"McKeesport, Pa. / McKeesport",,
1,,3.0,Melvin Ravenel,DB,6-3,175.0,R-So.,"Goose Creek, S.C. / Goose Creek",,
2,,4.0,Dominick Poole,DB,6-0,175.0,Jr.,"Randleman, N.C. / Randleman",,
3,,6.0,Hasan Black,LB,6-3,235.0,Sr.,"Wyoming, Ohio / Wyoming",,
4,,8.0,Brian Horn,LB,6-1,195.0,Gr.,"Columbia, S.C. / Westwood",,
5,,10.0,Travon Wallace,DB,6-0,190.0,Gr.,"Jacksonville, Fla. / North Carolina Central",,
6,,11.0,Ahmad Green,QB,5-10,175.0,R-So.,"Baltimore, Md. / May River",,
7,,14.0,Tripp Williams,QB,6-1,215.0,So.,"Charleston, S.C. / Philip Simmons",,
8,,16.0,Varney Layman,QB,6-1,192.0,R-So.,"Concord, N.C. / Cox Mill",,
9,,17.0,Carson Walter,DB,6-0,204.0,Gr.,"Fayetteville, Ga. / Birmingham Southern",,
10,,18.0,Graeson Underwood,QB,6-0,225.0,Jr.,"Irmo, S.C / Dutch Fork",,
11,,19.0,Jay Graves-Billips,RB,5-11,185.0,R-So.,"Mobile, Ala. / St. Paul's Episcopal",,
12,,20.0,Michael McDowell,DL,6-1,215.0,Gr.,"Boiling Springs, S.C. / Boiling Springs",,
13,,22.0,JJ Hudson,RB,5-11,185.0,So.,"Anderson, S.C. / Navy Prep",,
14,,24.0,Wilson Hendricks III,DB,6-1,200.0,Jr.,"Travelers Rest, S.C. / Travelers Rest",,
15,,27.0,Cooper Wallace,RB,5-10,195.0,Sr.,"Florence, S.C. / West Florence",,
16,,29.0,Elijah Bass,TE,6-0,220.0,Jr.,"Stafford, Va. / Colonial Forge",,
17,,30.0,Joseph Poole,DB,6-2,175.0,Jr.,"Easley, S.C. / St. Joseph's Catholic",,
18,,31.0,Cale Williams,DB,6-0,195.0,So.,"Canton, Ga. / Creekview",,
19,,35.0,Chase Burton,WR,6-2,190.0,So.,"Anderson, S.C. / T.L. Hanna",,
20,,36.0,Desmond Boatwright,RB,5-10,190.0,R-Fr.,"Hopkins, S.C. / Blythewood",,
21,,38.0,Hayden Johnson,LB,5-11,185.0,Jr.,"York, S.C. / Clover",,
22,,39.0,Ricky Conway,RB,5-10,180.0,Gr.,"Lindenhurst, N.Y. / Long Island",,
23,,40.0,Johnny Crawford III,RB,5-8,180.0,So.,"Moore Haven, Fla. / Clewiston",,
24,,42.0,Corey Ibrahim,RB,5-10,196.0,So.,"Raleigh, N.C. / Myrtle Beach Collegiate",,
25,,43.0,Je'Mazin Roberts,LB,6-2,240.0,Jr.,"Milledgeville, Ga. / John Milledge Academy",,
26,,44.0,Carson Hatchett,DL,6-3,260.0,Sr.,"Blountstown, Fla. / Blountstown",,
27,,45.0,Drew Beard,DB,5-9,160.0,Jr.,"Lexington, S.C. / River Bluff",,
28,,46.0,Rett Russell,LB,6-3,205.0,Gr.,"Acworth, Ga. / Wofford",,
29,,47.0,Hi'keem Elmore,TE,5-10,265.0,Sr.,"Orangeburg, S.C. / Edisto",,
30,,48.0,Saul Diaz,LB,6-3,230.0,Jr.,"Blythewood, S.C. / Hammond",,
31,,49.0,Cole England,TE,6-4,245.0,R-So.,"Laurens, S.C. / Laurens",,
32,,50.0,Jackson Dorris,LB,6-1,200.0,Jr.,"Simpsonville, S.C. / Southside Christian",,
33,,51.0,Waverly Brooks,DL,6-2,260.0,So.,"Rock Hill, S.C. / Rock Hill",,
34,,51.0,Justice Gilliard,DB,6-1,170.0,So.,"Yorktown, Va. / Grafton",,
35,,55.0,Bryson Jones,OL,6-1,265.0,Jr.,"Greenwood, S.C. / Emerald",,
36,,56.0,Josh Cole,LB,6-3,215.0,So.,"Roswell, Ga. / Fellowship Christian School",,
37,,57.0,Mike Bartilucci,OL,6-1,280.0,R-So.,"Jacksonville, Fla. / Fletcher",,
38,,58.0,Maurice Bonneau Jr.,LB,6-3,215.0,R-Fr.,"Rock Hill, S.C. / Rock Hill",,
